Fecha,Comuna,Casos Confirmados,CUT
29-03-2020,Palmilla,0,06306
29-03-2020,Paredones,0,06206
29-03-2020,Peralillo,0,06307
29-03-2020,Peumo,0,06112
29-03-2020,Pichidegua,0,06113
29-03-2020,Pichilemu,0,06201
29-03-2020,Placilla,0,06308
29-03-2020,Pumanque,0,06309
29-03-2020,Quinta de Tilcoco,1,06114
29-03-2020,Rancagua,7,06101
29-03-2020,Rengo,1,06115
29-03-2020,Requínoa,2,06116
29-03-2020,San Fernando,2,06301
29-03-2020,San Vicente,0,06117
29-03-2020,Santa Cruz,0,06310
29-03-2020,Cauquenes,1,07201
29-03-2020,Chanco,0,07202
29-03-2020,Colbún,1,07402
29-03-2020,Constitución,0,07102
29-03-2020,Curepto,0,07103
29-03-2020,Curicó,6,07301
29-03-2020,Empedrado,0,07104
29-03-2020,Hualañé,0,07302
29-03-2020,Licantén,0,07303
29-03-2020,Linares,4,07401
29-03-2020,Longaví,1,07403
29-03-2020,Maule,2,07105
29-03-2020,Molina,2,07304
29-03-2020,Parral,4,07404
29-03-2020,Pelarco,0,07106
29-03-2020,Pelluhue,1,07203
29-03-2020,Pencahue,0,07107
29-03-2020,Rauco,0,07305
29-03-2020,Retiro,0,07405
29-03-2020,Río Claro,1,07108
29-03-2020,Romeral,1,07306
29-03-2020,Sagrada Familia,0,07307
29-03-2020,San Clemente,0,07109
29-03-2020,San Javier,0,07406
29-03-2020,San Rafael,0,07110
29-03-2020,Talca,34,07101
29-03-2020,Teno,0,07308
29-03-2020,Vichuquén,0,07309
29-03-2020,Villa Alegre,0,07407
29-03-2020,Yerbas Buenas,0,07408
29-03-2020,Bulnes,12,16102
29-03-2020,Chillán,114,16101
29-03-2020,Chillán Viejo,13,16103
29-03-2020,Cobquecura,0,16202
29-03-2020,Coelemu,0,16203
29-03-2020,Coihueco,3,16302
29-03-2020,El Carmen,1,16104
29-03-2020,Ninhue,0,16204
29-03-2020,Ñiquén,0,16303
29-03-2020,Pemuco,0,16105
29-03-2020,Pinto,1,16106
29-03-2020,Portezuelo,0,16205
29-03-2020,Quillón,4,16107
29-03-2020,Quirihue,0,16201
29-03-2020,Ránquil,0,16206
29-03-2020,San Carlos,8,16301
29-03-2020,San Fabián,3,16304
29-03-2020,San Ignacio,1,16108
29-03-2020,San Nicolás,1,16305
29-03-2020,Treguaco,0,16207
29-03-2020,Yungay,1,16109
29-03-2020,Alto Biobío,1,08314
29-03-2020,Antuco,0,08302
29-03-2020,Arauco,2,08202
29-03-2020,Cabrero,0,08303
29-03-2020,Cañete,0,08203
29-03-2020,Chiguayante,6,08103
29-03-2020,Concepción,28,08101
29-03-2020,Contulmo,0,08204
29-03-2020,Coronel,0,08102
29-03-2020,Curanilahue,0,08205
29-03-2020,Florida,0,08104
29-03-2020,Hualpén,1,08112
29-03-2020,Hualqui,2,08105
29-03-2020,Laja,1,08304
29-03-2020,Lebu,0,08201
29-03-2020,Los Álamos,0,08206
29-03-2020,Los Ángeles,11,08301
29-03-2020,Lota,0,08106
29-03-2020,Mulchén,2,08305
29-03-2020,Nacimiento,1,08306
29-03-2020,Negrete,0,08307
29-03-2020,Penco,0,08107
29-03-2020,Quilaco,0,08308
29-03-2020,Quilleco,0,08309
29-03-2020,San Pedro de la Paz,18,08108
29-03-2020,San Rosendo,0,08310
29-03-2020,Santa Bárbara,1,08311
29-03-2020,Santa Juana,0,08109
29-03-2020,Talcahuano,2,08110
29-03-2020,Tirúa,0,08207
29-03-2020,Tomé,4,08111
29-03-2020,Tucapel,0,08312
29-03-2020,Yumbel,5,08313
29-03-2020,Angol,7,09201
29-03-2020,Carahue,1,09102
29-03-2020,Cholchol,1,09121
29-03-2020,Collipulli,0,09202
29-03-2020,Cunco,0,09103
29-03-2020,Curacautín,0,09203
29-03-2020,Curarrehue,1,09104
29-03-2020,Ercilla,0,09204
29-03-2020,Freire,2,09105
29-03-2020,Galvarino,1,09106
29-03-2020,Gorbea,4,09107
29-03-2020,Lautaro,2,09108
29-03-2020,Loncoche,2,09109
29-03-2020,Lonquimay,0,09205
29-03-2020,Los Sauces,0,09206
29-03-2020,Lumaco,0,09207
29-03-2020,Melipeuco,0,09110
29-03-2020,Nueva Imperial,0,09111
