Fecha,CUT,Region,Comuna,Casos Confirmados
30-03-2020,6305,LI,Nancagua,0
30-03-2020,6205,LI,Navidad,0
30-03-2020,6111,LI,Olivar,0
30-03-2020,6306,LI,Palmilla,0
30-03-2020,6206,LI,Paredones,0
30-03-2020,6307,LI,Peralillo,0
30-03-2020,6112,LI,Peumo,0
30-03-2020,6113,LI,Pichidegua,0
30-03-2020,6201,LI,Pichilemu,0
30-03-2020,6308,LI,Placilla,0
30-03-2020,6309,LI,Pumanque,0
30-03-2020,6114,LI,Quinta de Tilcoco,1
30-03-2020,6101,LI,Rancagua,7
30-03-2020,6115,LI,Rengo,1
30-03-2020,6116,LI,Requínoa,2
30-03-2020,6301,LI,San Fernando,2
30-03-2020,6117,LI,San Vicente,0
30-03-2020,6310,LI,Santa Cruz,0
30-03-2020,7201,ML,Cauquenes,1
30-03-2020,7202,ML,Chanco,0
30-03-2020,7402,ML,Colbún,1
30-03-2020,7102,ML,Constitución,0
30-03-2020,7103,ML,Curepto,0
30-03-2020,7301,ML,Curicó,6
30-03-2020,7104,ML,Empedrado,0
30-03-2020,7302,ML,Hualañé,0
30-03-2020,7303,ML,Licantén,0
30-03-2020,7401,ML,Linares,4
30-03-2020,7403,ML,Longaví,1
30-03-2020,7105,ML,Maule,2
30-03-2020,7304,ML,Molina,2
30-03-2020,7404,ML,Parral,4
30-03-2020,7106,ML,Pelarco,0
30-03-2020,7203,ML,Pelluhue,1
30-03-2020,7107,ML,Pencahue,0
30-03-2020,7305,ML,Rauco,0
30-03-2020,7405,ML,Retiro,0
30-03-2020,7108,ML,Río Claro,1
30-03-2020,7306,ML,Romeral,1
30-03-2020,7307,ML,Sagrada Familia,0
30-03-2020,7109,ML,San Clemente,0
30-03-2020,7406,ML,San Javier,0
30-03-2020,7110,ML,San Rafael,0
30-03-2020,7101,ML,Talca,34
30-03-2020,7308,ML,Teno,0
30-03-2020,7309,ML,Vichuquén,0
30-03-2020,7407,ML,Villa Alegre,0
30-03-2020,7408,ML,Yerbas Buenas,0
30-03-2020,16102,NB,Bulnes,12
30-03-2020,16101,NB,Chillán,114
30-03-2020,16103,NB,Chillán Viejo,13
30-03-2020,16202,NB,Cobquecura,0
30-03-2020,16203,NB,Coelemu,0
30-03-2020,16302,NB,Coihueco,3
30-03-2020,16104,NB,El Carmen,1
30-03-2020,16204,NB,Ninhue,0
30-03-2020,16303,NB,Ñiquén,0
30-03-2020,16105,NB,Pemuco,0
30-03-2020,16106,NB,Pinto,1
30-03-2020,16205,NB,Portezuelo,0
30-03-2020,16107,NB,Quillón,4
30-03-2020,16201,NB,Quirihue,0
30-03-2020,16206,NB,Ránquil,0
30-03-2020,16301,NB,San Carlos,8
30-03-2020,16304,NB,San Fabián,3
30-03-2020,16108,NB,San Ignacio,1
30-03-2020,16305,NB,San Nicolás,1
30-03-2020,16207,NB,Treguaco,0
30-03-2020,16109,NB,Yungay,1
30-03-2020,8314,BI,Alto Biobío,1
30-03-2020,8302,BI,Antuco,0
30-03-2020,8202,BI,Arauco,2
30-03-2020,8303,BI,Cabrero,0
30-03-2020,8203,BI,Cañete,0
30-03-2020,8103,BI,Chiguayante,6
30-03-2020,8101,BI,Concepción,28
30-03-2020,8204,BI,Contulmo,0
30-03-2020,8102,BI,Coronel,0
30-03-2020,8205,BI,Curanilahue,0
30-03-2020,8104,BI,Florida,0
30-03-2020,8112,BI,Hualpén,1
30-03-2020,8105,BI,Hualqui,2
30-03-2020,8304,BI,Laja,1
30-03-2020,8201,BI,Lebu,0
30-03-2020,8206,BI,Los Álamos,0
30-03-2020,8301,BI,Los Ángeles,11
30-03-2020,8106,BI,Lota,0
30-03-2020,8305,BI,Mulchén,2
30-03-2020,8306,BI,Nacimiento,1
30-03-2020,8307,BI,Negrete,0
30-03-2020,8107,BI,Penco,0
30-03-2020,8308,BI,Quilaco,0
30-03-2020,8309,BI,Quilleco,0
30-03-2020,8108,BI,San Pedro de la Paz,18
30-03-2020,8310,BI,San Rosendo,0
30-03-2020,8311,BI,Santa Bárbara,1
30-03-2020,8109,BI,Santa Juana,0
30-03-2020,8110,BI,Talcahuano,2
30-03-2020,8207,BI,Tirúa,0
30-03-2020,8111,BI,Tomé,4
30-03-2020,8312,BI,Tucapel,0
30-03-2020,8313,BI,Yumbel,5
30-03-2020,9201,AR,Angol,7
30-03-2020,9102,AR,Carahue,1
30-03-2020,9121,AR,Cholchol,1
30-03-2020,9202,AR,Collipulli,0
30-03-2020,9103,AR,Cunco,0
30-03-2020,9203,AR,Curacautín,0
30-03-2020,9104,AR,Curarrehue,1
30-03-2020,9204,AR,Ercilla,0
30-03-2020,9105,AR,Freire,2
30-03-2020,9106,AR,Galvarino,1
30-03-2020,9107,AR,Gorbea,4
30-03-2020,9108,AR,Lautaro,2
30-03-2020,9109,AR,Loncoche,2
30-03-2020,9205,AR,Lonquimay,0
30-03-2020,9206,AR,Los Sauces,0
30-03-2020,9207,AR,Lumaco,0
30-03-2020,9110,AR,Melipeuco,0
30-03-2020,9111,AR,Nueva Imperial,0
30-03-2020,9112,AR,Padre Las Casas,9
30-03-2020,9113,AR,Perquenco,1
30-03-2020,9114,AR,Pitrufquén,4
30-03-2020,9115,AR,Pucón,3
30-03-2020,9208,AR,Purén,0
30-03-2020,9209,AR,Renaico,0
30-03-2020,9116,AR,Saavedra,0
30-03-2020,9101,AR,Temuco,154
30-03-2020,9117,AR,Teodoro Schmidt,0
30-03-2020,9118,AR,Toltén,1
30-03-2020,9210,AR,Traiguén,0
30-03-2020,9211,AR,Victoria,5
30-03-2020,9119,AR,Vilcún,4
30-03-2020,9120,AR,Villarrica,1
30-03-2020,14102,LR,Corral,0
30-03-2020,14202,LR,Futrono,0
30-03-2020,14201,LR,La Unión,1
30-03-2020,14203,LR,Lago Ranco,0
30-03-2020,14103,LR,Lanco,0
30-03-2020,14104,LR,Los Lagos,0
30-03-2020,14105,LR,Máfil,1
30-03-2020,14106,LR,Mariquina,0
30-03-2020,14107,LR,Paillaco,0
30-03-2020,14108,LR,Panguipulli,0
30-03-2020,14204,LR,Río Bueno,2
30-03-2020,14101,LR,Valdivia,12
30-03-2020,10202,LL,Ancud,0
30-03-2020,10102,LL,Calbuco,4
30-03-2020,10201,LL,Castro,1
30-03-2020,10401,LL,Chaitén,0
30-03-2020,10203,LL,Chonchi,0
30-03-2020,10103,LL,Cochamó,0
