CUT (Código Único Territorial),Nombre,Provincia,,Superficie,Población,Densidad,IDH 2005,IDH Categoria,Lat,Lon
11301,Cochrane,Capitán Prat,Aysén,8599.5,3490,0.41,0.668,Medio,-47.267,-72.55
11302,O'Higgins,Capitán Prat,Aysén,8182.5,625,0.08,0.572,Bajo medio,-48.8,-73.183
11303,Tortel,Capitán Prat,Aysén,19710.6,523,0.03,0.655,Medio,-47.781,-73.512
11401,Chile Chico,General Carrera,Aysén,5737.1,4865,0.85,0.707,Alto,-46.55,-71.733
11402,Río Ibáñez,General Carrera,Aysén,5997.2,2666,0.45,0.654,Medio,-46.255,-71.95
12101,Punta Arenas,Magallanes,Magallanes,17846.3,131592,7.37,0.748,Alto,-53.148,-70.907
12102,Laguna Blanca,Magallanes,Magallanes,3695.6,274,0.07,0.785,Alto,-52.267,-71.183
12103,Río Verde,Magallanes,Magallanes,17248,617,0.04,0.784,Alto,-52.628,-71.477
12104,San Gregorio,Magallanes,Magallanes,6883.7,799,0.12,0.823,Muy alto,-52.567,-70.067
12201,Cabo de Hornos,Antártica Chilena,Magallanes,15578.7,2063,0.13,0.806,Muy alto,-54.947,-67.607
12202,Antártica,Antártica Chilena,Magallanes,1250257.6,127,1,,Medio,-75,-71.5
12301,Porvenir,Tierra del Fuego,Magallanes,9707.4,6801,0.7,0.731,Alto,-53.298,-70.385
12302,Primavera,Tierra del Fuego,Magallanes,4253.4,1158,0.27,0.774,Alto,-52.886,-69.353
12303,Timaukel,Tierra del Fuego,Magallanes,10758.9,405,0.04,0.717,Alto,-53.672,-69.71
12401,Natales,Última Esperanza,Magallanes,49924.1,21477,0.43,0.699,Alto,-51.733,-72.517
12402,Torres del Paine,Última Esperanza,Magallanes,6630,1209,0.18,0.73,Alto,-50.982,-72.499
13101,Santiago,Santiago,Metropolitana,23.2,404495,17435.1,0.807,Muy alto,-33.437,-70.657
13102,Cerrillos,Santiago,Metropolitana,21,80832,3849.1,0.743,Alto,-33.5,-70.717
13103,Cerro Navia,Santiago,Metropolitana,11,132622,12056.5,0.683,Medio,-33.422,-70.735
13104,Conchalí,Santiago,Metropolitana,10.7,126955,11865,0.707,Alto,-33.38,-70.675
13105,El Bosque,Santiago,Metropolitana,14.2,162505,11444,0.711,Alto,-33.567,-70.675
13106,Estación Central,Santiago,Metropolitana,15,147041,9802.7,0.735,Alto,-33.459,-70.699
13107,Huechuraba,Santiago,Metropolitana,44.8,98671,2202.5,0.737,Alto,-33.368,-70.634
13108,Independencia,Santiago,Metropolitana,7,100281,14325.9,0.709,Alto,-33.413,-70.666
13109,La Cisterna,Santiago,Metropolitana,10,90119,9011.9,0.775,Alto,-33.529,-70.663
13110,La Florida,Santiago,Metropolitana,70.2,366916,5226.7,0.804,Muy alto,-33.525,-70.538
13111,La Granja,Santiago,Metropolitana,10,116571,11657.1,0.689,Medio,-33.533,-70.625
13112,La Pintana,Santiago,Metropolitana,30.6,177335,5795.3,0.679,Medio,-33.583,-70.634
13113,La Reina,Santiago,Metropolitana,23,92787,4034.2,0.883,Muy alto,-33.443,-70.532
13114,Las Condes,Santiago,Metropolitana,99,294838,2978.2,0.933,Muy alto,-33.4,-70.503
13115,Lo Barnechea,Santiago,Metropolitana,1024,105833,103.4,0.912,Muy alto,-33.352,-70.336
13116,Lo Espejo,Santiago,Metropolitana,7,98804,14114.9,0.657,Medio,-33.522,-70.687
13117,Lo Prado,Santiago,Metropolitana,7,96249,13749.9,0.715,Alto,-33.445,-70.726
13118,Macul,Santiago,Metropolitana,12.9,116534,9033.6,0.806,Muy alto,-33.487,-70.604
13119,Maipú,Santiago,Metropolitana,135.5,521657,3849.6,0.902,Muy alto,-33.49,-70.788
13120,Ñuñoa,Santiago,Metropolitana,16.9,208237,13321.7,0.86,Muy alto,-33.454,-70.604
13121,Pedro Aguirre Cerda,Santiago,Metropolitana,10,101174,10117.4,0.708,Alto,-33.583,-70.667
13122,Peñalolén,Santiago,Metropolitana,54,241599,4474.1,0.743,Alto,-33.486,-70.525
13123,Providencia,Santiago,Metropolitana,14.3,142079,9935.6,0.911,Muy alto,-33.435,-70.616
13124,Pudahuel,Santiago,Metropolitana,197,230293,1197,0.735,Alto,-33.411,-70.836
13125,Quilicura,Santiago,Metropolitana,58,210410,3627.8,0.782,Alto,-33.361,-70.729
13126,Quinta Normal,Santiago,Metropolitana,13,110026,8463.5,0.723,Alto,-33.427,-70.699
13127,Recoleta,Santiago,Metropolitana,16,157851,9865.7,0.697,Alto,-33.406,-70.64
13128,Renca,Santiago,Metropolitana,24,147151,6131.3,0.709,Alto,-33.398,-70.723
13129,San Joaquín,Santiago,Metropolitana,9.7,94492,9741.4,0.719,Alto,-33.491,-70.628
13130,San Miguel,Santiago,Metropolitana,10,107954,10795.4,0.765,Alto,-33.486,-70.649
13131,San Ramón,Santiago,Metropolitana,7,82900,11842.8,0.679,Medio,-33.533,-70.642
13132,Vitacura,Santiago,Metropolitana,28.3,85384,3017.1,0.949,Muy alto,-33.378,-70.562
13201,Puente Alto,Cordillera,Metropolitana,88,568106,6455.8,0.773,Alto,-33.616,-70.57
13202,Pirque,Cordillera,Metropolitana,445.3,26521,59.6,0.807,Muy alto,-33.65,-70.564
13203,San José de Maipo,Cordillera,Metropolitana,4994.8,18189,3.64,0.759,Alto,-33.644,-70.353
13301,Colina,Chacabuco,Metropolitana,971.2,146207,150.5,0.726,Alto,-33.194,-70.668
13302,Lampa,Chacabuco,Metropolitana,452,102034,225.7,0.697,Medio,-33.286,-70.878
13303,Til Til,Chacabuco,Metropolitana,653,19312,29.6,0.706,Alto,-33.085,-70.925
13401,San Bernardo,Maipo,Metropolitana,155,301313,1943.9,0.712,Alto,-33.582,-70.687
13402,Buin,Maipo,Metropolitana,214,96614,451.5,0.731,Alto,-33.728,-70.739
13403,Calera de Tango,Maipo,Metropolitana,73.3,25392,346.4,0.792,Alto,-33.628,-70.785
13404,Paine,Maipo,Metropolitana,820,72759,88.7,0.718,Alto,-33.812,-70.723
13501,Melipilla,Melipilla,Metropolitana,1345,123627,91.9,0.735,Alto,-33.689,-71.208
13502,Alhué,Melipilla,Metropolitana,845,6444,7.63,0.7,Alto,-34.033,-71.1
13503,Curacaví,Melipilla,Metropolitana,693,32579,47,0.71,Alto,-33.399,-71.137
13504,María Pinto,Melipilla,Metropolitana,393.5,13590,34.5,0.698,Alto,-33.515,-71.119
13505,San Pedro,Melipilla,Metropolitana,788,9726,12.3,0.701,Alto,-33.9,-71.467
13601,Talagante,Talagante,Metropolitana,126,74237,589.2,0.749,Alto,-33.667,-70.931
13602,El Monte,Talagante,Metropolitana,118,35923,304.4,0.688,Medio,-33.684,-71.017
13603,Isla de Maipo,Talagante,Metropolitana,189,36219,191.6,0.724,Alto,-33.754,-70.886
13604,Padre Hurtado,Talagante,Metropolitana,80.8,63250,782.8,0.728,Alto,-33.576,-70.8
13605,Peñaflor,Talagante,Metropolitana,69,90201,1307.3,0.753,Alto,-33.606,-70.877
BARCO2,Barco Isabela Island,Valparaíso,Valparaíso,,,,,,-33.01115,-71.59019
BARCO1,Barco Silver Explorer,,Los Lagos,,,,,,-39.76115,-74.24939
