ID_C_AUC,N_1A7D,N_8A14D,N_15a21d,N_22a28d
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,1,0,0,3
7,0,1,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,1,0,0,0
18,4,11,5,14
19,2,0,1,4
20,0,0,0,0
21,0,0,0,0
22,13,15,22,24
23,8,2,5,9
24,2,5,0,4
25,24,7,18,23
26,14,15,15,17
27,0,0,0,0
28,0,0,0,0
29,2,0,2,8
30,3,12,13,15
31,9,19,8,25
32,0,0,0,0
33,1,0,3,2
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,2,1,11
38,1,6,12,18
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,2,0,0
43,5,8,4,5
44,11,9,10,10
45,10,12,20,34
46,6,5,3,17
47,0,0,0,0
48,0,0,0,0
49,0,2,3,5
50,12,17,14,7
51,28,14,17,20
52,27,29,23,19
53,13,12,26,30
54,1,4,7,1
55,0,0,1,0
56,0,0,0,0
57,7,10,7,4
58,4,6,4,17
59,2,5,4,1
60,6,10,13,22
61,6,0,6,2
62,0,0,0,1
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,5,3,6,7
68,11,7,18,14
69,0,5,6,8
70,16,24,7,7
71,2,0,1,2
72,0,0,0,0
73,0,0,2,1
74,0,0,1,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0,2
79,0,0,0,0
80,0,0,0,1
81,0,0,0,0
82,2,1,0,0
83,0,0,0,0
84,0,0,0,0
85,0,0,0,0
86,0,0,0,0
87,0,0,0,0
88,1,1,1,0
89,0,0,1,0
90,0,0,0,0
91,3,2,1,0
92,0,0,3,1
93,0,0,0,0
94,0,0,0,0
95,0,0,0,0
96,1,0,0,0
97,0,0,0,0
98,0,0,0,0
99,0,0,0,0
100,0,0,0,0
101,0,0,0,0
102,0,0,0,0
103,0,0,0,0
