ID_C_AUC,N_1A7D,N_8A14D,N_15a21d,N_22a28d
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,3
7,1,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,1,0,0,0
18,6,10,8,18
19,0,0,2,3
20,0,0,0,0
21,0,0,0,0
22,13,23,14,27
23,4,2,7,12
24,3,4,1,6
25,19,11,20,27
26,8,19,15,30
27,0,0,0,0
28,0,0,0,0
29,1,0,7,6
30,4,13,12,21
31,11,16,12,29
32,0,0,0,0
33,1,0,4,1
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,3,4,9
38,2,8,12,17
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,2,0,1
43,6,8,6,3
44,9,11,4,19
45,8,15,24,32
46,4,5,13,9
47,0,0,0,0
48,0,0,0,0
49,0,2,4,4
50,12,19,8,10
51,23,8,26,18
52,18,26,24,18
53,13,28,14,35
54,2,7,4,0
55,0,1,0,0
56,0,0,0,0
57,7,5,6,8
58,2,7,5,18
59,0,8,1,3
60,9,8,23,14
61,2,1,6,1
62,0,0,1,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,1
67,4,4,7,11
68,8,12,18,11
69,2,4,11,3
70,16,19,6,9
71,0,0,1,2
72,0,0,0,1
73,0,1,1,1
74,0,1,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0,3
79,0,0,0,1
80,0,0,1,0
81,0,0,0,0
82,3,0,0,0
83,0,0,0,0
84,0,0,0,0
85,0,0,0,0
86,0,0,0,0
87,0,0,0,0
88,2,1,0,0
89,0,0,1,0
90,0,0,0,0
91,3,0,1,0
92,0,0,4,0
93,0,0,0,0
94,0,0,0,0
95,0,0,0,0
96,1,0,0,0
97,0,0,0,0
98,0,0,0,0
99,0,0,0,0
100,0,0,0,0
101,0,0,0,0
102,0,0,0,0
103,0,0,0,0
