ID_C_AUC,N_1A7D,N_8A14D,N_15a21d,N_22a28d
1,0,2,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,1,2,3,0
7,0,1,3,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,2,0,0,0
14,0,0,0,2
15,0,0,0,0
16,0,0,3,0
17,0,1,0,0
18,2,5,14,15
19,0,0,1,2
20,0,0,0,0
21,0,0,0,0
22,13,25,14,18
23,8,6,7,7
24,3,0,3,4
25,12,19,22,23
26,8,13,13,37
27,0,0,0,0
28,0,0,0,0
29,6,6,4,5
30,6,5,7,7
31,9,18,15,16
32,1,0,0,0
33,0,1,0,1
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,1,3,4
38,17,8,14,15
39,0,0,0,0
40,0,1,0,1
41,0,0,0,0
42,0,0,0,1
43,1,2,4,2
44,7,14,11,10
45,5,12,11,23
46,15,14,16,16
47,0,0,0,0
48,0,0,0,0
49,5,0,1,3
50,6,9,17,4
51,16,10,28,28
52,7,18,36,24
53,5,14,14,22
54,1,5,4,4
55,0,1,0,0
56,0,0,0,0
57,2,4,14,9
58,5,16,3,20
59,3,2,2,4
60,5,12,7,12
61,1,3,1,4
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,8,18,5,9
68,7,10,12,24
69,4,2,8,5
70,8,10,6,8
71,0,0,0,1
72,0,0,0,1
73,0,1,0,0
74,0,0,0,1
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,2,1,1
79,1,0,2,1
80,2,0,2,1
81,0,0,0,0
82,0,0,2,3
83,1,0,0,0
84,0,0,0,0
85,0,0,0,0
86,0,0,0,0
87,0,0,0,0
88,0,0,0,0
89,0,0,0,0
90,0,0,0,0
91,1,3,0,2
92,0,0,0,0
93,0,0,0,0
94,0,0,0,0
95,1,0,0,3
96,0,0,0,0
97,0,0,0,0
98,0,0,0,0
99,0,0,0,0
100,0,0,0,0
101,0,0,0,0
102,0,0,0,0
103,0,0,0,0
104,0,0,0,0
105,0,0,0,0
106,0,0,0,0
107,0,0,0,0
108,0,0,0,0
109,0,0,0,0
110,0,0,0,0
111,0,0,0,0
112,0,0,0,0
113,0,0,0,0
114,0,0,0,3
115,0,0,0,0
116,0,0,0,0
117,0,0,0,0
118,0,0,0,0
119,0,0,0,0
120,0,0,0,0
121,0,0,0,0
122,0,0,0,0
123,0,0,0,0
124,0,0,0,0
125,0,0,0,0
