ID_C_AUC,N_1A7D,N_8A14D,N_15a21d,N_22a28d
1,1,2,0,1
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,2,2,6,2
7,1,1,4,2
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,2,1,1,0
14,0,2,0,2
15,0,0,0,0
16,0,2,4,0
17,0,0,0,1
18,2,12,10,18
19,1,2,0,0
20,0,0,0,0
21,0,0,0,0
22,16,21,16,20
23,8,7,5,8
24,3,4,1,2
25,12,17,23,33
26,10,21,18,36
27,0,0,0,0
28,0,0,0,0
29,2,11,2,5
30,8,6,5,11
31,8,26,19,17
32,2,0,1,0
33,0,0,2,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,1,2,2,3
38,10,12,16,15
39,0,0,0,0
40,1,0,0,0
41,0,0,0,0
42,0,1,0,0
43,1,4,2,3
44,4,12,13,16
45,5,17,15,18
46,15,19,13,17
47,0,0,0,0
48,0,0,0,0
49,2,1,2,2
50,6,7,15,11
51,13,14,34,21
52,17,18,34,28
53,8,10,18,23
54,3,4,5,2
55,0,0,0,1
56,0,0,0,0
57,8,10,6,12
58,5,17,9,19
59,4,3,3,2
60,6,9,11,12
61,3,1,1,5
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,8,9,11,14
68,9,16,13,19
69,5,5,1,8
70,2,8,15,7
71,1,0,0,0
72,0,0,1,0
73,0,0,0,1
74,0,0,0,1
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,1,0,1,2
79,0,2,1,1
80,3,0,1,1
81,0,0,0,0
82,1,0,4,2
83,0,0,0,0
84,0,0,0,0
85,0,0,0,0
86,0,1,0,0
87,0,0,0,0
88,0,0,0,0
89,0,0,0,1
90,0,0,0,0
91,0,4,2,0
92,0,0,0,0
93,0,0,0,0
94,0,0,0,0
95,0,0,1,3
96,0,0,0,0
97,0,0,0,0
98,0,0,0,0
99,0,0,0,0
100,0,0,0,0
101,0,0,0,0
102,0,0,0,0
103,0,0,0,0
104,0,0,0,0
105,0,0,0,0
106,0,0,0,0
107,0,0,0,0
108,0,0,0,0
109,0,0,0,0
110,0,0,0,0
111,0,0,0,0
112,0,0,0,0
113,0,0,0,0
114,1,1,0,1
115,0,0,0,0
116,0,0,0,0
117,0,0,0,0
118,0,0,0,0
119,0,0,0,0
120,0,0,0,0
