ID_C_AUC,N_1A7D,N_8A14D,N_15a21d,N_22a28d
317,0,0,0,1
318,0,0,0,0
319,2,3,0,13
320,1,1,0,0
321,0,0,0,0
322,0,0,0,0
323,1,1,0,0
324,0,0,0,0
325,1,1,0,0
326,0,0,0,0
327,0,0,0,0
328,0,0,0,0
329,0,0,0,0
330,0,0,0,0
331,0,0,0,0
332,0,0,0,0
333,0,0,0,0
334,0,0,0,0
335,0,0,0,0
336,0,0,0,0
337,0,0,0,0
338,0,0,0,0
339,0,0,0,0
340,0,0,0,0
341,0,0,0,0
342,0,0,0,0
343,0,0,0,0
344,0,0,0,0
345,0,0,0,0
346,0,0,0,0
347,0,0,0,0
348,0,0,0,0
349,0,0,0,0
350,0,0,0,0
351,0,0,0,0
352,0,0,0,0
353,0,0,0,0
354,0,0,0,0
355,0,0,0,0
356,0,0,0,0
357,0,0,0,0
358,0,0,0,0
359,0,0,0,0
360,0,0,0,0
361,0,0,0,0
362,0,0,0,0
363,0,0,0,0
364,0,0,0,0
365,0,0,0,0
366,0,0,0,0
367,0,0,0,0
368,0,0,0,0
369,0,0,0,0
370,0,0,0,0
371,0,0,0,0
372,0,0,0,0
373,0,0,0,0
374,0,0,0,0
375,0,0,0,0
376,0,1,0,0
377,1,0,0,2
378,1,0,0,2
379,0,0,0,0
380,0,0,0,0
381,0,0,0,0
382,1,1,0,0
383,0,0,0,0
384,0,0,1,0
385,0,0,1,0
386,0,0,0,0
387,0,0,0,0
388,0,0,0,0
389,0,0,0,0
390,0,0,0,0
391,0,0,0,0
392,0,0,0,0
393,0,0,0,1
394,0,0,0,0
395,0,0,0,0
396,0,0,0,0
397,0,0,0,0
398,0,0,0,0
399,0,0,0,0
400,0,0,0,0
401,0,0,0,0
402,0,0,0,0
403,1,2,0,0
404,0,0,0,0
405,0,0,0,0
406,0,2,0,0
407,0,0,0,0
408,0,0,0,0
409,0,0,0,0
410,0,0,0,0
411,0,0,0,4
412,0,0,0,1
413,0,0,0,0
414,0,0,0,0
415,0,0,0,0
416,0,0,0,0
417,0,0,0,0
418,4,5,3,7
419,1,2,7,3
420,0,0,0,0
421,0,0,0,0
422,0,0,0,0
423,0,0,0,0
424,0,0,0,0
425,0,0,0,0
426,0,0,0,0
427,0,0,0,1
428,3,11,1,15
429,3,7,6,12
430,5,1,1,3
431,2,4,4,3
432,0,0,0,0
433,0,0,0,0
434,0,0,0,0
435,0,0,0,0
436,0,0,0,0
437,0,0,0,0
438,6,2,10,7
439,0,1,4,14
440,2,3,4,4
441,1,4,5,2
442,0,3,3,1
443,0,0,0,0
444,0,0,0,0
445,0,1,4,9
446,8,6,5,8
447,6,5,5,7
448,1,0,4,2
449,0,0,0,0
450,1,0,2,0
451,1,4,4,1
452,5,4,4,9
453,0,0,0,0
454,0,0,0,1
455,0,0,0,0
456,2,0,3,1
457,6,1,4,14
458,0,0,0,0
459,0,0,0,3
460,0,0,0,0
461,0,0,0,0
462,0,0,0,0
463,0,1,0,1
464,0,0,0,0
465,0,0,0,0
466,0,0,0,0
467,0,0,0,0
468,0,0,0,0
469,0,0,0,0
470,0,0,0,1
471,0,0,0,0
472,0,0,0,0
473,0,0,0,0
474,0,0,0,0
475,0,0,0,0
476,1,0,0,0
477,0,0,0,0
478,0,0,0,0
479,0,0,0,0
480,0,0,0,0
481,0,0,1,3
482,0,0,0,0
483,0,0,0,0
484,0,0,0,0
485,2,0,0,0
486,0,0,0,0
487,0,0,0,0
488,0,0,0,0
489,0,0,0,0
490,0,0,1,0
491,0,0,1,1
492,0,0,0,0
493,0,0,0,0
494,0,0,0,0
495,0,0,0,0
497,0,0,0,0
498,0,0,0,0
499,0,0,0,0
500,0,0,0,0
501,0,0,0,0
502,0,1,0,0
503,1,0,0,1
504,0,0,0,0
505,0,0,0,0
506,0,0,0,0
507,0,0,0,0
508,0,0,0,0
509,0,0,0,1
510,0,3,0,0
511,4,6,4,1
512,8,7,7,6
513,0,0,0,0
514,0,0,0,0
515,0,0,0,0
516,0,0,0,0
517,0,0,0,0
518,0,0,0,0
519,0,1,0,0
520,0,0,0,0
521,1,2,0,1
522,0,0,0,0
523,0,0,0,0
524,0,0,0,0
525,0,0,0,0
526,0,0,0,0
527,0,0,0,0
528,0,0,0,0
529,0,0,0,0
530,0,0,0,0
531,0,0,0,0
532,0,0,0,0
533,0,0,0,0
534,0,0,0,0
535,0,0,0,0
536,0,0,0,0
537,0,0,0,0
538,0,0,0,0
539,0,0,0,0
540,0,1,0,1
541,2,0,5,0
542,0,0,0,0
543,0,0,0,0
544,0,0,0,0
545,0,1,0,4
546,0,0,0,0
547,0,2,3,1
548,0,2,0,2
549,0,0,0,0
550,0,0,0,0
551,7,2,6,2
552,2,0,2,2
553,5,1,1,4
554,2,2,3,10
555,5,8,2,2
556,1,1,1,0
557,7,11,12,8
558,9,18,19,28
559,0,0,1,2
560,9,5,0,13
561,6,18,15,21
562,0,0,0,0
563,8,7,6,7
564,5,4,7,9
565,6,6,15,13
566,0,0,0,0
567,0,0,0,0
568,2,1,0,0
569,3,13,5,6
570,9,16,8,27
571,0,0,0,0
572,0,0,0,0
573,0,4,0,1
574,8,9,14,4
575,0,1,0,0
576,8,6,5,12
577,10,11,14,24
578,1,1,0,0
579,0,1,18,6
580,1,10,9,10
581,6,9,18,29
582,0,0,0,0
583,0,3,0,2
584,3,10,7,5
585,3,0,0,5
586,0,0,0,0
587,4,2,6,6
588,5,13,17,7
589,0,3,0,2
590,0,0,0,0
591,3,7,15,20
592,20,16,14,19
593,0,0,0,0
594,1,0,1,3
595,4,12,11,6
596,7,6,18,6
597,0,0,0,0
598,2,4,3,4
599,2,3,7,4
600,0,0,0,0
601,0,0,0,0
602,1,0,0,1
603,3,1,1,3
604,0,0,0,0
605,0,0,0,4
606,0,0,0,0
607,0,0,0,0
608,1,5,3,4
609,8,5,3,6
610,0,0,0,0
611,1,0,1,1
612,0,1,10,2
613,0,0,0,0
614,0,0,0,0
615,1,1,1,1
616,0,1,0,2
617,0,1,2,0
618,0,0,0,0
619,0,0,0,0
620,0,0,0,0
621,0,0,0,2
622,0,0,0,0
623,0,0,0,0
624,0,0,0,0
625,0,0,0,0
626,0,0,0,0
627,0,0,0,0
628,0,0,0,0
629,0,0,0,0
630,0,0,0,0
631,0,0,0,0
632,0,0,0,0
633,0,0,2,1
634,0,0,0,0
635,0,0,0,0
636,0,0,1,0
637,4,2,0,0
638,0,0,0,0
639,0,0,0,0
640,0,0,0,0
641,0,0,0,0
642,0,0,0,0
643,0,0,0,0
644,0,0,0,0
645,0,0,0,0
646,0,0,0,0
647,0,0,0,0
648,0,1,0,0
649,0,0,0,6
650,0,0,1,0
651,0,0,0,0
652,0,0,1,0
653,0,0,0,0
654,0,0,0,0
655,0,0,0,0
656,0,0,0,0
657,0,0,0,0
658,0,0,0,0
659,0,0,3,7
660,0,9,17,6
661,0,0,0,0
662,0,0,0,0
663,1,0,2,10
664,0,0,9,5
665,0,0,0,0
666,0,0,0,0
667,0,0,0,0
668,0,0,0,0
669,1,1,0,3
670,0,0,0,3
671,0,0,0,0
672,0,0,0,0
673,0,0,0,0
674,7,3,1,7
675,0,0,4,0
676,0,0,0,0
677,0,1,0,6
678,2,5,1,6
679,0,0,1,2
680,0,0,0,0
681,0,0,0,0
682,0,0,0,0
683,0,0,0,0
684,0,0,0,0
685,0,0,0,0
686,0,0,0,0
687,0,0,0,1
688,0,0,0,0
689,0,0,0,0
690,0,0,0,0
691,0,0,0,0
692,0,0,0,0
693,0,0,0,0
694,0,0,0,0
695,0,0,0,0
696,0,0,0,0
697,0,0,0,0
698,0,0,0,1
699,0,0,0,0
700,0,0,0,0
701,0,0,0,0
702,0,0,0,0
703,0,0,0,0
704,0,0,0,0
705,0,0,0,0
706,0,0,0,0
707,0,0,0,0
708,0,0,0,0
709,0,0,0,0
710,0,0,0,0
711,0,3,0,0
712,1,0,0,0
713,0,0,0,0
714,0,0,0,0
715,0,0,0,0
716,0,1,0,1
717,6,8,1,3
718,0,0,0,0
719,0,0,0,0
720,0,0,0,0
721,0,0,0,0
722,0,0,0,0
723,1,2,0,1
724,0,0,0,0
