ID_C_AUC,N_1A7D,N_8A14D,N_15a21d,N_22a28d
1,0,0,0,2
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,2,1,1,2
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,2,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,1
18,11,10,5,4
19,1,2,0,0
20,0,0,0,0
21,0,0,0,0
22,21,16,15,25
23,9,9,12,9
24,6,1,6,2
25,18,20,21,22
26,16,16,18,16
27,0,0,0,0
28,0,0,0,0
29,5,4,9,6
30,18,6,7,4
31,20,28,23,16
32,0,0,0,1
33,1,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,4,3,0,1
38,12,9,28,11
39,0,0,1,0
40,0,0,1,0
41,0,0,0,0
42,1,0,0,0
43,3,3,4,1
44,15,5,20,11
45,26,15,13,11
46,6,13,20,10
47,0,0,0,0
48,0,0,0,0
49,5,4,5,0
50,8,7,10,7
51,12,20,25,11
52,7,17,20,14
53,27,18,13,15
54,0,2,5,2
55,0,0,0,1
56,0,0,0,0
57,7,3,7,1
58,12,6,8,12
59,2,2,5,3
60,9,12,7,8
61,1,1,0,4
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,1,0,0,0
67,10,1,7,14
68,10,3,13,8
69,2,3,6,1
70,9,8,9,3
71,1,0,0,0
72,1,0,0,0
73,1,0,1,1
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,2,0,0,2
79,0,1,1,0
80,0,1,2,0
81,0,0,0,0
82,0,0,0,0
83,0,0,1,0
84,0,0,0,0
85,0,0,0,0
86,0,0,0,0
87,0,0,0,0
88,0,0,0,0
89,0,0,0,0
90,0,0,0,0
91,0,0,3,1
92,0,0,1,0
93,0,0,0,0
94,0,0,0,0
95,0,1,2,0
96,0,0,0,0
97,0,0,0,0
98,0,0,0,0
99,0,0,0,0
100,0,0,0,0
101,0,0,0,0
102,0,0,0,0
103,0,0,0,0
104,0,0,0,0
105,0,0,0,0
106,0,0,0,0
107,0,0,0,0
108,0,0,0,0
109,0,0,0,0
110,0,0,0,0
111,0,0,0,0
112,0,0,0,0
113,0,0,0,0
114,0,0,0,0
115,0,0,0,0
116,0,0,0,0
117,0,0,0,0
118,0,0,0,0
119,0,0,0,0
120,0,0,0,0
121,0,0,0,0
122,0,0,0,0
123,0,0,0,0
124,0,0,0,0
125,0,0,0,0
126,0,0,0,0
127,0,0,0,0
128,0,0,0,0
129,0,0,0,0
130,0,0,0,0
131,0,0,0,0
132,0,0,0,0
133,0,0,0,0
134,0,0,0,0
135,0,0,0,0
136,0,0,0,0
137,0,0,0,0
138,0,0,0,0
139,0,0,0,0
140,0,0,0,0
141,0,0,0,0
142,0,0,0,0
143,0,0,0,1
144,0,0,0,0
145,0,0,0,0
146,0,0,0,0
147,0,0,0,0
148,0,0,0,0
149,0,0,0,0
150,0,0,0,0
151,0,0,0,0
152,0,0,0,0
153,0,0,0,0
154,0,0,0,0
155,0,0,0,0
156,0,0,0,0
157,0,0,0,0
158,0,0,0,0
159,0,0,0,0
160,0,0,0,0
161,0,0,0,0
162,0,0,0,0
163,0,0,0,0
164,0,0,0,0
165,0,0,0,0
166,0,0,0,0
167,0,0,0,0
168,0,0,0,0
169,0,0,0,0
170,0,0,0,0
171,0,0,0,0
172,0,0,0,0
173,0,0,0,0
174,0,0,0,0
175,0,0,0,0
176,0,0,0,0
177,0,0,0,0
178,0,0,0,0
179,0,0,0,0
180,0,0,0,0
181,0,0,0,0
182,0,0,0,0
183,0,0,0,0
184,0,0,0,0
185,0,0,0,0
186,0,0,0,0
187,0,0,0,0
188,0,0,0,0
189,0,0,1,1
190,0,0,0,0
191,0,0,0,0
192,0,0,0,0
193,0,0,0,0
194,0,0,0,0
195,0,0,0,0
196,0,0,0,0
197,0,0,0,0
198,0,0,0,0
199,0,0,0,0
200,0,0,0,0
201,0,0,0,0
202,0,0,0,0
203,0,0,0,0
204,0,0,0,1
205,0,0,0,0
206,0,0,0,0
207,0,0,0,0
208,0,0,0,0
209,0,0,0,0
210,0,0,0,0
211,0,0,0,0
212,0,0,0,0
213,1,0,0,1
214,8,5,4,5
215,8,5,4,23
216,0,0,0,0
217,0,0,0,0
218,4,6,6,12
219,8,10,10,23
220,10,9,7,8
221,0,0,0,0
222,3,2,1,2
223,19,7,21,10
224,17,20,8,14
225,0,1,5,2
226,0,0,1,0
227,5,3,1,10
228,6,20,14,21
229,4,4,5,6
230,0,0,0,0
231,2,7,5,1
232,7,15,8,6
233,5,8,6,5
234,0,0,0,0
235,0,0,0,0
236,5,4,6,11
237,0,0,0,0
238,0,0,0,2
239,0,0,0,0
240,0,0,0,0
241,1,4,2,3
242,7,17,13,7
243,0,0,0,0
244,2,4,0,6
245,1,3,5,5
246,0,0,0,0
247,0,1,0,5
248,1,3,1,3
249,0,0,0,0
250,0,0,0,1
251,5,3,8,5
252,0,6,8,18
253,4,1,4,5
254,2,1,0,0
255,0,0,0,0
256,0,0,0,0
