ID_C_AUC,N_1A7D,N_8A14D,N_15a21d,N_22a28d
1,0,1,1,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,1,2,2,1
7,0,0,1,3
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,2,0,0,0
14,0,0,0,2
15,0,0,0,0
16,0,0,3,0
17,0,1,0,0
18,2,4,5,21
19,0,0,1,2
20,0,0,0,0
21,0,0,0,0
22,5,25,20,18
23,6,11,6,8
24,4,2,3,3
25,9,21,22,22
26,8,12,15,29
27,0,0,0,0
28,0,0,0,0
29,5,6,5,5
30,3,4,9,8
31,15,14,19,13
32,0,1,0,0
33,0,0,1,1
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,4,4
38,17,14,9,15
39,1,0,0,0
40,0,1,0,1
41,0,0,0,0
42,0,0,0,1
43,2,1,4,3
44,11,12,15,10
45,5,12,10,22
46,14,12,19,14
47,0,0,0,0
48,0,0,0,0
49,4,1,1,3
50,7,8,16,9
51,12,13,23,26
52,11,15,25,36
53,8,13,11,21
54,2,4,4,6
55,0,1,0,0
56,0,0,0,0
57,2,4,11,6
58,5,12,9,15
59,4,4,2,2
60,3,10,9,9
61,0,3,2,3
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,7,13,8,11
68,7,11,7,24
69,4,1,9,4
70,8,7,9,6
71,0,0,0,0
72,0,0,0,0
73,0,1,0,0
74,0,0,0,1
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,2,1,1
79,1,0,1,1
80,1,1,1,2
81,0,0,0,0
82,0,0,0,3
83,1,0,0,0
84,0,0,0,0
85,0,0,0,0
86,0,0,0,0
87,0,0,0,0
88,0,0,0,0
89,0,0,0,0
90,0,0,0,0
91,0,3,1,2
92,1,0,0,0
93,0,0,0,0
94,0,0,0,0
95,1,0,0,3
96,0,0,0,0
97,0,0,0,0
98,0,0,0,0
99,0,0,0,0
100,0,0,0,0
101,0,0,0,0
102,0,0,0,0
103,0,0,0,0
104,0,0,0,0
105,0,0,0,0
106,0,0,0,0
107,0,0,0,0
108,0,0,0,0
109,0,0,0,0
110,0,0,0,0
111,0,0,0,0
112,0,0,0,0
113,0,0,0,0
114,0,0,0,3
115,0,0,0,0
116,0,0,0,0
117,0,0,0,0
118,0,0,0,0
119,0,0,0,0
120,0,0,0,0
121,0,0,0,0
122,0,0,0,0
123,0,0,0,0
124,0,0,0,0
125,0,0,0,0
126,0,0,0,0
127,0,0,0,0
128,0,0,0,0
129,0,0,0,0
130,0,0,0,0
131,0,0,0,0
132,0,0,0,0
133,0,0,0,0
134,0,0,0,0
135,0,0,0,0
136,0,0,0,0
137,0,0,0,0
138,0,0,0,0
139,0,0,0,0
140,0,0,0,0
141,0,0,0,0
142,0,0,0,0
143,0,0,0,0
144,0,0,0,0
145,0,0,0,0
146,0,0,0,0
147,0,0,0,0
148,0,0,0,0
149,0,0,0,0
150,0,0,0,0
151,0,0,0,0
152,0,0,0,0
153,0,0,0,0
154,0,0,0,0
155,0,0,0,0
156,0,0,0,0
157,0,0,0,0
158,0,0,0,0
159,0,0,0,0
160,0,0,0,0
161,0,0,0,0
162,0,0,0,0
163,0,0,0,0
164,0,0,0,0
165,0,0,0,0
166,0,0,0,0
167,0,0,0,0
168,0,0,0,0
169,0,0,0,0
170,0,0,0,0
171,0,0,0,0
172,0,0,0,0
173,0,0,0,0
174,0,0,0,0
175,0,0,0,0
176,0,0,0,0
177,0,0,0,0
178,0,0,0,0
179,0,0,0,0
180,0,0,0,0
181,0,0,0,0
182,0,0,0,0
183,0,0,0,0
184,0,0,0,0
185,0,0,0,0
186,0,0,0,0
187,0,0,0,0
188,0,0,0,0
189,1,1,0,0
190,0,0,0,0
191,0,0,0,5
192,0,0,0,0
193,0,0,0,0
194,0,0,0,0
195,0,0,0,0
196,0,0,0,0
197,0,0,2,0
198,0,0,0,0
199,0,0,0,0
200,0,0,0,0
201,0,0,0,0
