ID_C_AUC,NOMBRE,COD_REGION,COD_COMUNA,COMUNA,X1,Y1,X2,Y2,X3,Y3,X4,Y4
20,Pachama,15,15201,PUTRE,-7739074.90788526,-2088419.43956589,-7740129.01914554,-2088416.36070044,-7740125.93219288,-2087355.88387118,-7739071.8760003,-2087358.96095993
21,Arica,15,15101,ARICA,-7825510.83842237,-2089043.26460132,-7826564.75277781,-2089035.63923383,-7826557.14805035,-2087975.36219413,-7825503.28873363,-2087982.98316313
22,Arica,15,15101,ARICA,-7824456.91970552,-2089050.83457971,-7825510.83842237,-2089043.26460132,-7825503.28873363,-2087982.98316313,-7824449.42505655,-2087990.54877498
23,Arica,15,15101,ARICA,-7823402.99665905,-2089058.34916795,-7824456.91970552,-2089050.83457971,-7824449.42505655,-2087990.54877498,-7823395.55705091,-2087998.05902862
24,Arica,15,15101,ARICA,-7825518.39247252,-2090103.60075633,-7826572.36189847,-2090095.9709893,-7826564.75277781,-2089035.63923383,-7825510.83842237,-2089043.26460132
25,Arica,15,15101,ARICA,-7824464.4186841,-2090111.17510232,-7825518.39247252,-2090103.60075633,-7825510.83842237,-2089043.26460132,-7824456.91970552,-2089050.83457971
26,Arica,15,15101,ARICA,-7823410.44056502,-2090118.69402619,-7824464.4186841,-2090111.17510232,-7824456.91970552,-2089050.83457971,-7823402.99665905,-2089058.34916795
27,Santa Rosa - Poconchile,15,15101,ARICA,-7799167.82170969,-2090276.33046228,-7800221.89065612,-2090270.08652035,-7800215.65859654,-2089209.65436336,-7799161.64474464,-2089215.89470475
28,Linderos,15,15101,ARICA,-7798113.74919595,-2090282.5189591,-7799167.82170969,-2090276.33046228,-7799161.64474464,-2089215.89470475,-7798107.6273263,-2089222.07963299
29,Arica,15,15101,ARICA,-7825525.95088512,-2091163.99165981,-7826579.97541339,-2091156.35749218,-7826572.36189847,-2090095.9709893,-7825518.39247252,-2090103.60075633
30,Arica,15,15101,ARICA,-7824471.92199334,-2091171.57037444,-7825525.95088512,-2091163.99165981,-7825518.39247252,-2090103.60075633,-7824464.4186841,-2090111.17510232
31,Arica,15,15101,ARICA,-7823417.88876986,-2091179.09363499,-7824471.92199334,-2091171.57037444,-7824464.4186841,-2090111.17510232,-7823410.44056502,-2090118.69402619
32,Santa Rosa - Poconchile,15,15101,ARICA,-7800228.12631482,-2091330.57344884,-7801282.24678762,-2091324.27042927,-7801275.95600344,-2090263.78713416,-7800221.89065612,-2090270.08652035
33,Santa Rosa - Poconchile,15,15101,ARICA,-7799174.00224204,-2091336.82099219,-7800228.12631482,-2091330.57344884,-7800221.89065612,-2090270.08652035,-7799167.82170969,-2090276.33046228
34,Linderos,15,15101,ARICA,-7799174.00224204,-2091336.82099219,-7799167.82170969,-2090276.33046228,-7798113.74919595,-2090282.5189591,-7798119.87460109,-2091343.01305844
35,Arica,15,15101,ARICA,-7826587.59332362,-2092216.79877411,-7827641.66858963,-2092209.1047209,-7827633.99554634,-2091148.66787259,-7826579.97541339,-2091156.35749218
36,Arica,15,15101,ARICA,-7825533.51366124,-2092224.4373434,-7826587.59332362,-2092216.79877411,-7826579.97541339,-2091156.35749218,-7825525.95088512,-2091163.99165981
37,Arica,15,15101,ARICA,-7824479.42963429,-2092232.02042771,-7825533.51366124,-2092224.4373434,-7825525.95088512,-2091163.99165981,-7824471.92199334,-2091171.57037444
38,Arica,15,15101,ARICA,-7823425.34127459,-2092239.54802599,-7824479.42963429,-2092232.02042771,-7824471.92199334,-2091171.57037444,-7823417.88876986,-2091179.09363499
39,Arica,15,15101,ARICA,-7822371.24861395,-2092247.02013718,-7823425.34127459,-2092239.54802599,-7823417.88876986,-2091179.09363499,-7822363.85124647,-2091186.56144043
40,Belén,15,15201,PUTRE,-7738032.7193482,-2092664.9321931,-7739087.05295157,-2092661.90176255,-7739084.01405518,-2091601.2039841,-7738029.73564728,-2091604.23266827
41,Arica,15,15101,ARICA,-7828703.47206271,-2093261.84237613,-7829757.59360323,-2093254.03285969,-7829749.80580525,-2092193.55016704,-7828695.73942744,-2092201.35518485
42,Arica,15,15101,ARICA,-7827649.3460611,-2093269.59637884,-7828703.47206271,-2093261.84237613,-7828695.73942744,-2092201.35518485,-7827641.66858963,-2092209.1047209
43,Arica,15,15101,ARICA,-7826595.21563024,-2093277.29486673,-7827649.3460611,-2093269.59637884,-7827641.66858963,-2092209.1047209,-7826587.59332362,-2092216.79877411
44,Arica,15,15101,ARICA,-7825541.08080193,-2093284.93783874,-7826595.21563024,-2093277.29486673,-7826587.59332362,-2092216.79877411,-7825533.51366124,-2092224.4373434
45,Arica,15,15101,ARICA,-7824486.94160799,-2093292.52529379,-7825541.08080193,-2093284.93783874,-7825533.51366124,-2092224.4373434,-7824479.42963429,-2092232.02042771
