ID_C_AUC,N_1A7D,N_8A14D,N_15a21d,N_22a28d
1,0,2,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,3,2,1
7,0,1,3,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,2,0,0,0
14,0,0,0,2
15,0,0,0,0
16,0,0,3,0
17,1,0,0,0
18,2,5,17,16
19,0,0,1,2
20,0,0,0,0
21,0,0,0,0
22,8,31,9,19
23,10,8,5,6
24,3,0,5,3
25,11,21,20,22
26,7,18,17,34
27,0,0,0,0
28,0,0,0,0
29,3,6,8,1
30,5,6,7,8
31,9,21,14,16
32,1,0,0,2
33,0,1,1,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,1,4,3
38,16,12,12,14
39,0,0,0,0
40,0,0,0,1
41,0,0,0,0
42,0,0,0,1
43,1,2,4,3
44,6,13,12,13
45,5,13,15,18
46,13,16,16,22
47,0,0,0,0
48,0,0,0,0
49,4,0,1,3
50,9,6,20,4
51,15,12,29,27
52,11,18,38,25
53,5,14,15,23
54,2,5,4,3
55,0,1,0,0
56,0,0,0,0
57,2,4,15,14
58,6,18,10,13
59,3,1,3,4
60,7,10,6,14
61,2,2,3,2
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,10,16,4,10
68,7,9,17,22
69,1,5,7,5
70,4,12,5,10
71,0,0,0,1
72,0,0,0,1
73,0,1,0,0
74,0,0,0,1
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,2,2,0
79,0,1,2,1
80,2,0,3,0
81,0,0,0,0
82,0,0,2,3
83,1,0,0,0
84,0,0,0,0
85,0,0,0,0
86,0,0,0,1
87,0,0,0,0
88,0,0,0,0
89,0,0,0,0
90,0,0,0,0
91,2,2,0,2
92,0,0,0,0
93,0,0,0,0
94,0,0,0,0
95,1,0,2,1
96,0,0,0,0
97,0,0,0,0
98,0,0,0,0
99,0,0,0,0
100,0,0,0,0
101,0,0,0,0
102,0,0,0,0
103,0,0,0,0
104,0,0,0,0
105,0,0,0,0
106,0,0,0,0
107,0,0,0,0
108,0,0,0,0
109,0,0,0,0
110,0,0,0,0
111,0,0,0,0
112,0,0,0,0
113,0,0,0,0
114,0,0,0,3
115,0,0,0,0
116,0,0,0,0
117,0,0,0,0
118,0,0,0,0
119,0,0,0,0
120,0,0,0,0
121,0,0,0,0
122,0,0,0,0
123,0,0,0,0
124,0,0,0,0
125,0,0,0,0
